正文,真实值,预测值
目的 探讨 慢性 牙周炎 口腔 胃 幽门 螺杆菌 感染率 影响 方法 选择 例 患者 牙周 检查 分为 慢性 牙周炎 组 例 牙周 健康 组 例 检测 两组 口腔 胃 感染率 分析 组内 口腔 胃 感染率 相关性 组间 口腔 胃 感染率 差异 两 组组 口腔 胃 感染率 关联 慢性 牙周炎 组 口腔 感染率 高于 牙周 健康 组 两组 胃 感染率 差别 统计学 意义 结论 口腔 感染率 胃 感染率 关联 慢性 牙周炎 提高 口腔 感染率 不良 牙周 状况 口腔 提供 生存环境,0,[0.00123594]
目的 探讨 唾液腺 多形性 腺瘤 表现 临床 方法 例 唾液腺 多形性 腺瘤 患者 临床 资料 分析 唾液腺 多形性 腺瘤 表现 圆形 或类 圆形 肿块 另有 结论 唾液腺 多形性 腺瘤 表现 临床 有利于 提高 唾液腺 多形性 腺瘤 正确 诊断 临床 提供 可靠 诊断,0,[0.00026807]
综合性 医院 门诊 口腔科 集 诊治 预防 宣传 一体 诊疗 单位 诊疗 单位 里 医生 护士 外 流动性 患有 口腔疾病 患者 诊疗 过程 中 飞沫 血液 唾液 接触 器械 设备 发生 医患 患患 之间 院内 感染 一名 口腔 医务人员 降低 院内 感染 保护 患者 职责 本文 提高 口腔科 医务人员 控制 感染 意识 改善 诊疗 环境 结合实际 情况 控制 外源性 感染 从根本上 减少 院内 感染 发生,0,[1.2562349e-05]
目的 探讨 全麻 患者 实施 气管 插管 前 口腔 护理 预防 呼吸机 相关 性肺炎 影响 方法 例 实施 机械性 辅助 呼吸 患者 随机 分为 组 对照组 观察 组 每组 例 对照组 采用 常规 方式 口腔 护理 观察 组 采用 双氧水 口腔 护理 术后 两组 患者 病菌 例数 口腔溃疡 例数 发生 呼吸机 相关 性肺炎 例数 观察 组 口腔 细菌 占 口腔溃疡 占 发生 呼吸机 相关 性肺炎 占 低于 对照组 口腔 细菌 患者 占 口腔溃疡 占 发生 呼吸机 相关 性肺炎 占 差异 结论 全麻 患者 实施 气管 插管 前 利用 双氧水 口腔 护理 降低 呼吸机 相关 性肺炎 发生 机率 患者 早日康复 起着 作用,1,[0.9849856]
目的 探讨 锥形 束 三维 重建 上颌 腭 侧 埋伏 阻生 尖牙 牵引 治疗 中 指导作用 方法 例 上颌 尖牙 颗 腭 侧 埋伏 阻生 青少年 患者 行 检查 三维重建 观察 尖牙 形态 腭 侧 埋伏 状况 测量 分析 邻近 组织 位置 关系 相邻 切牙 牙根 吸收 情况 真实 再现 颌骨 埋伏 上颌 尖牙 埋伏 尖牙 中 倾斜  平面 平均 成角 ° ± ° 近中 异位 Ⅰ 类 埋伏 尖牙 颗 Ⅱ 类 颗 类 颗 Ⅳ 类 颗 颗 相邻 侧 切牙 颗 中 切牙 牙根 吸收 拔除 颗 上颌 腭 侧 埋伏 尖牙 成功 牵引  平面 排入 牙弓 建立 咬合 结论 立体 再现 上颌 尖牙 腭 侧 埋伏 阻生 特征 邻近 牙 关系 治疗 方案 制定 开窗 牵引 指导作用 提高 疗效,0,[4.4080898e-05]
目的 作者 记录 卫生 行政部门 取缔 无证 牙医 流动 摊点 案件 当事人 临近 傍晚 菜场 门口 摆放 摊位 提供 医师资格 证书 医师 执业 证书 医疗机构 执业 许可证 现场 查获 当事人 设摊 布质 招牌 口腔 诊疗 用品 回顾 案件 调查取证 过程 探讨 分析 此类 案件 查处 过程 中 取证 适用法律,0,[5.2891868e-05]
目的 正畸 治疗 口腔 修复 治疗 手段 临床 体会 方法 我院 接收 患者 临床 资料 分析 患者 正畸 修复 治疗 患者 牙齿 咬合 功能 并发症 发生 结论 正畸 治疗 患者 口腔 功能 修复 起到 美化 效果,0,[0.00011596]
牙周病 做 危害 人类 咀嚼 器官 疾病 人群 中 患病率 居高不下 导致 成年人 牙齿 松动 丧失 因素 医学 研究 临床 观察 牙周病 口腔 局部 组织 疾病 相互 关联 全身 疾病 关系密切 全身 疾病 牙周病 发病 加重 促进作用 疾病 遗传 因素 伴有 宿主 防御 功能 降低 牙周病 疾病 并发症 病灶 源 牙周病 全身 疾病 关系 综述 将会 牙周病 全身 疾病 防治,0,[2.3585142e-05]
种植体 炎是 导致 种植体 修复 失败 原因 预防 方式 维护 包括 口腔卫生 戒烟 减少 药物 临床 检查 包括 证 选择 种植 材料 选择 种植 维护 治疗 方案 局部 清创 激光治疗 电化学 治疗 联合 抗生素 非手术治疗 手术 治疗 非手术治疗 操作 简便 创伤 不良反应 手术 治疗 修复 骨组织 牙龈 组织 软硬 组织 缺损 把握 方案 证是 治疗 关键,0,[6.5728986e-05]
正 医务人员 口腔 检查和 治疗 过程 中 口腔 唾液 清洁 水等 液体 吸 需请 护士 协助 一根 独立 负压 吸附 影响 医生 操作 视线 浪费 人力资源 设计 制作 一种 新型 多功能 口腔 镜 现 介绍 新型 多功能 口腔 镜 结构 新型 多功能 口腔 镜 包括 手柄 固定设置 手柄 一端 镜头 镜头 正面 固定设置 反光镜 片 手柄 内沿 轴向 设置 通道 镜头 设置 通道 相通 多个 通孔 通孔 轴向 设置 通道,0,[3.0713323e-05]
目的 观察 阿昔洛韦 软膏 利巴韦 林 维生素 合剂 皮肤 口腔 局部 用药 联合 静脉 输液 支持 治疗 手足 口病 临床 效果 方法 例 手足 口病 患儿 给予 阿昔洛韦 软膏 利巴韦 林 维生素 合剂 皮肤 口腔 局部 用药 联合 静脉 输液 支持 治疗 例 患儿 满意 疗效 治愈率 达 总 有效率 达 结论 阿昔洛韦 软膏 利巴韦 林 维生素 合剂 皮肤 口腔 局部 用药 联合 静脉 输液 支持 治疗 小儿 手足 口病 效果 确切,0,[0.05973358]
本次 研究 例 口腔科 患者 我院 月 月 年 月 收治 护理 措施 分为 观察 组和 对照组 例 观察 组 实施 品管圈 护理 干预 对照组 患者 常规 护理 措施 两组 患者 护理 质量 评分 护理 满意度 并发症 发生率 观察 组 并发症 发生率 护理 满意度 护理 质量 评分 ± 分 对照组 并发症 发生率 护理 满意度 护理 质量 评分 ± 分 两组 差异 统计学 意义 探讨 品管圈 活动 用于 口腔科 护理 中 效果显著 提升 护理 质量 降低 患者 发生 发生率 值得 临床 推广,0,[0.06231536]
目的 观察 口腔 综合 保健 预防 恒 磨牙 龋 患中 效果 预防 龋齿 提供 方法 方法 年 月 年 月 收治 岁 儿童 患者 例 分为 对照组 观察 组 例 对照组 采用 常规 口腔 保健 方法 观察 组 采用 口腔 综合 保健 预防 方法 半年 复查 次 随访 年 预防 龋齿 效果 观察 组患 龋 率 低于 对照组 结论 口腔 综合 预防措施 降低 恒 磨牙 发病率 效果 应 大力推广 普及,0,[0.04005487]
目的 研究 转化 生长因子 β β 牙周膜 干细胞 迁移 粘附 增殖 影响 初步 探讨 β 影响 牙周组织 干细胞 参与 牙周 改建 机制 方法 分离 培养 鉴定 其多 分化 潜能 法 检测 β 迁移 影响 粘附 实验 检测 β 粘附 能力 影响 法 生长率 法 检测 β 增殖 影响 浓度 β 迁移 作用 呈 剂量效应 关系 粘附 实验 结果显示 作用 浓度 β 粘附 法 证实 β 增殖 作用 呈 剂量效应 关系 细胞 含有 含有 β 培养基 中 培养 细胞 计数 发现 β 生长 结论 β 迁移 粘附 增殖 推测 β 诱导 牙周组织 部位 迁移 提高 粘附 增殖 能力,0,[0.00028051]
高职高专 口腔医学 专业 培养目标 国家 执业 医师 考试 相关 内容 口腔 修复 学 教学 条件 探讨 多种 恰当 教学方法 素质教育 贯穿 教学 中 注重 学生 素质 能力 培养 发挥 口腔 修复 学在 口腔医学 中 桥梁 作用,0,[0.00013632]
目的 分析 三维 稳态 干扰 序列 三叉神经 脑池 段 显示 走行 周边 血管 关系 表现 探讨 血管 压迫 性 三叉神经痛 诊断 价值 方法 回顾性 分析 例经 神经外科 手术 证实 血管 压迫 性 三叉神经痛 患者 表现 观察 三叉神经 形态 走行 血管 关系 三叉神经 序列 显示 清晰 显示 率为 例均 显示 局部 动脉 接触 压迫 三叉神经 且经 手术 证实 分析 显示 责任 血管 例为 同侧 小脑 动脉 例为 同侧 椎动脉 例为 同侧 基底 动脉 结论 清晰 显示 三叉神经 脑池 段 形态 走行 周边 血管 关系 有助于 责任 血管 对术 前 评估 指导 治疗 意义,0,[1.5492176e-06]
目的 分化 型 甲状腺癌 患者 术后 首次 碘 治疗 行 唾液腺 显像 探讨 碘 治疗 唾液腺 功能 影响 方法 患者 例 首次 服 碘 治疗 前行 唾液腺 动态 显像 观察 分析 唾液腺 动态 图像 计算 腮腺 颌下腺 浓聚率 酸 刺激 分泌 率 发现 唾液腺 功能 受损 推迟 碘 治疗 功能 正常者 碘 治疗 月 月 行 唾液腺 动态 显像 腮腺 表现 缓慢 持续 放射性 浓集 颌下腺 表现 周期性 放射性 浓集 排泌 酸性 物质刺激 腺体 放射性 下降 服 碘后 月 腮腺 首次 碘 治疗 前均 下降 至服 碘后 月 腮腺 恢复正常 结论 碘 治疗 在短期内 导致 唾液腺 功能 受损 月 恢复正常 碘 治疗 前行 唾液腺 显像 提前 发现 唾液腺 功能 受损 患者 给予 对症 治疗 再行 碘 治疗 唾液腺 功能 永久性 受损 方法,0,[0.00169422]
目的 探讨 孕妇 牙科 焦虑症 新生儿 出生 健康状况 影响 方法 采用 改良 牙科 焦虑 量表 我院 妇产科 住院 生产 例 孕妇 牙科 焦虑 程度 评分 调查 分娩 新生儿 出生 健康状况 包括 孕周 出生 体重 分钟 评分 分析 孕期 牙科 焦虑 程度 新生儿 健康状况 关系 牙科 焦虑 程度较高 组 ≥ 分 孕妇 出生 早产儿 低 出生 体重儿 分钟 评分 ≤ 分 发生率 高于 牙科 焦虑 程度 低组 组间 差异 统计学 意义 结论 孕妇 患有 牙科 焦虑症 新生儿 出生 健康 不利 影响,0,[0.00601356]
目的 口腔 正畸 治疗 上前 牙 阻生 临床 疗效 探讨 方法 取 研究 对象 例 我院 年 月份 年 月份 收治 上前 牙 阻生 患者 治疗 方法 分为 对照组 实验组 例 对照组 给予 外科 导萌 手术 治疗 实验组 对照组 基础 给予 口腔 正畸 治疗 观察 两组 患者 治疗 情况 实验组 总 有效率 对照组 高 差异性 统计学 意义 成立 实验组 牙龈 炎症 牙列 紊乱 咬牙 合错 牙合 发生率 对照组 低 差异性 较大 统计学 意义 结论 口腔 正畸 上前 牙 阻生 治疗 治疗 效果 理想 患者 异常情况 少 值得 推荐,0,[0.02484307]
目的 探索 人类 口腔 黏膜 上皮细胞 中 提取 基因组 方法 可行性 方法 采用 煮沸法 碱裂解 法 口腔 黏膜 上皮细胞 提取 基因组 临床 常用 碘化钠 法 提取 全血 基因组 煮沸法 碱裂解 法 方法 口腔 黏膜 上皮细胞 抽 提到 提取 浓度 低于 法 但用 方法 提取 样品 聚合酶 链反应 满意 效果 常规 法无 差异 结论 从人 口腔 黏膜 上皮细胞 提取 基因组 简便 快捷 无损 临床 潜在 价值,0,[0.00106231]
采用 技术 分析 镰 形扇 头 蜱 雌成 蜱 中肠 内容 物 唾液腺 虫卵 菌 群 结构 无菌 条件 采集 镰形 扇头 蜱 雌成 蜱 中肠 内容 物 唾液腺 虫卵 提取 细菌 总 通用 引物 扩增 细菌 区 电泳 回收 克隆 测定 优势 条带 结果表明 饱血 半饱 血 雌 蜱 中肠菌 群 结构 中肠 内容 物 唾液腺 虫卵 细菌 条 条带 序列 柯克斯 体属 假 单胞菌 属 芽孢 杆菌属 葡萄球菌 属 涅斯捷 连科菌 属 共生 菌 未 培养 土壤 细菌 区 序列 高度 分离 株 细菌 模仿 葡萄球菌 蜡样 芽孢 杆菌,0,[0.00012441]
目的 探讨 分析 联合 多种 药物 治疗 复发性 口腔溃疡 临床 效果 方法 选取 年 月 年 月间 我院 口腔 门诊 收治 复发性 口腔溃疡 患者 例 研究 对象 采用 随机 数字 表法 分为 组 例 组 例 组 例 联合 叶酸片 维生素 片 维生素 软胶囊 甲 钴 胺 片 复合 酶 漱口液 组 患者 治疗 联合 叶酸片 维生素 片 维生素 软胶囊 甲 钴 胺 片 组 患者 治疗 复合 酶 漱口液 组 患者 治疗 观察 三组 患者 临床 疗效 三组 患者 临床 资料 回顾性 分析 组 患者 治疗 总 有效率 组 患者 治疗 总 有效率 组 患者 治疗 总 有效率 组 患者 临床 疗效 优于 组 患者 组 患者 差异 统计学 意义 组 患者 治疗 期间 溃疡 时间 ± 随访 期间 总 间歇期 ± 组 患者 治疗 期间 溃疡 时间 ± 随访 期间 总 间歇期 ± 组 患者 治疗 期间 溃疡 时间 ± 随访 期间 总 间歇期 ± 组 患者 治疗 期间 溃疡 时间 随访 期间 总 间歇期 长于 组 患者 组 患者 差异 统计学 意义 结论 联合 多种 药物 治疗 复发性 口腔溃疡 临床 效果显著 值得 临床 推广应用,1,[0.8697362]
本文 旨在 研究 潜在 益生 特性 乳酸菌 龋齿 预防 中 利用 体外 生物膜 模型 筛选 变异 链球菌 生物膜 抑制作用 乳酸菌 考察 分离 乳酸菌 口腔 中 特性 研究 浸泡 苋菜 梗 卤水 中 分离 一株 韩国 魏斯氏菌 该菌 破坏 变异 链球菌 生物膜 结构 完整性 生物膜 中 菌体 总面积 减少 率 高达 该菌 浮游 状 变异 链球菌 共聚 能力 唾液 包被 羟基 磷灰石 粘附 能力 蔗糖 依赖性 粘附 能力 低 耐受 溶菌酶 有望 口腔 益生菌 预防 龋齿,0,[1.066887e-05]
目的 探讨 种植体 支持 一体式 可拆卸 套筒 冠 固定桥 修复 无牙  临床 效果 方法 例无牙  患者 采用 一体式 可拆卸 套筒 冠 固定桥 修复 制作 修复 体 上颌 固定桥 例 下颌 固定桥 例 采用 研磨 钛 基台 全瓷 基台 金 沉积 外冠 套筒 冠内 外冠 全瓷 钴 铬 合金 烤瓷 固定桥 最终 修复 戴入 固定桥 月 年 年 年 随访 评估 种植体 三维 骨 吸收 情况 软组织 健康状况 患者 主观 满意度 义齿 并发症 采用 软件包 所得 数据 统计学 分析 植入 颗 种植体 颗 松动 颗 种植体 骨 水平 稳定 垂直 水平 骨 吸收 均值 约 种植体 留存 率达 因素 方差分析 显示 随访 期间 改良 菌斑指数 改良 龈沟 出血指数 差异 探诊 附着 水平 年内 平均 增加 患者 自觉 咀嚼 发音 功能 提高 心理 满意度 高 修复 体 固位 稳定 折断 松动 现象 烤瓷 冠崩瓷 修理 次数 次 年 结论 种植体 支持 无牙 一体式 可拆卸 套筒 冠 固定桥 临床 近期 修复 效果 稳定,0,[0.00031796]
口腔 六 手 操作 四手操作 技术 基础 发展 新 诊疗 技术 现 口腔 种植 口腔 内科 诊疗 配合 本文 六手 操作 技术 定义 临床 操作 要点 优点 综述 口腔 六 手 操作 技术 推广应用 口腔疾病 治疗 提供 更好 发展,0,[1.9427998e-05]
口腔 健康 影响 我国 居民 生活 质量 公共 健康 口腔 中 致病菌 感染 牙菌斑 龋病 牙周病 口臭 口腔疾病 原因 益生菌 优势 口腔 中 定殖 致病菌 牙菌斑 内部 从根本上 抑制 致病菌 生长 调节 宿主 免疫 本文 益生菌 口腔 健康 领域 研究 结论,0,[0.00010712]
目的 四川省 岁 儿童 年 口腔 健康状况 监测 龋病 患病 趋势 四川省 儿童 口腔卫生 保健 规划 提供 信息 科学依据 方法 采用 阶段 分层 随机抽样 方法 抽取 四川省 岁 儿童 名为 观察 对象 口腔 健康 调查 方法 年 连续 调查 年 记录 名 儿童 乳 恒牙 患 龋 状况 统计分析 四川省 名 岁 儿童 年 乳牙 患 龋 率 年 乳牙 充填 率 城市 地区 儿童 乳牙 充填 率为 农村 地区 城市 地区 高于 农村 地区 第一 恒 磨牙 恒牙 患 龋牙位 年 第一 恒 磨牙 窝沟 封闭 率为 城市 农村 地区 城市 地区 高于 农村 地区 结论 四川省 岁 儿童 乳 恒牙 患 龋 率 高 年龄 增加 患 龋 情况 呈上升 趋势 龋病 治疗 状况 较差 恒牙 龋 第一 恒 磨牙,0,[0.00049035]
正 口腔 种植 学 发展 成熟 口腔医学 发展 口腔医学 中 占有 越来越 地位 广阔 前景 微创 种植 技术 人工 种植 牙 发展 方向 老年人 工 种植 牙 全身 局部 因素 因素 种植 难点 临床 老年人 工 种植 牙 微创 种植 技术 操作 要点 国家级 医学教育 项目 老年 微创 人工 种植 牙 学习,0,[1.8580202e-05]
目的 观察 深刺 下关 穴 温 针灸 治疗 三叉神经痛 临床 疗效 方法 选取 三叉神经痛 患者 例 采用 深刺 下关 温 针灸 治疗 治疗 疗程 观察 治疗 效果 临床 治愈 例 显效 例 例 无效 例 总 有效率 结论 深刺 下关 穴 温 针灸 治疗 三叉神经痛 临床 疗效显著,0,[0.0104625]
介绍 孙浩 主任 中医师 外用 中药 散剂 临床经验 列举 生星 醋 调消 疖 肿 黄榆油 涂愈 天疮 芦黛吹 敷敛 口疮 及升炉 扑粉 止 湿疹 四,0,[0.00029062]
一步法 自酸蚀 粘接剂 临床 光固化 吸水性 发生 这一 现象 原因 因素 成分 溶剂 疏水 树脂 成分 酸蚀 树脂 单体 口腔 微 环境 影响 本文 一步法 自酸蚀 粘接 吸水性 相关 因素 研究进展 综述,0,[1.6391705e-05]
目的 探讨 拉莫 三嗪 治疗 三叉神经痛 临床 疗效 方法 随机 数字 表法 例 原发性 三叉神经痛 患者 分为 实验组 对照组 实验组 给予 拉莫 三嗪 片 治疗 对照组 给予 卡马西平 片 治疗 组 治疗 前及 治疗 月 疼痛 评分 变化 情况 不良反应 发生 情况 组 治疗 月 疼痛 评分 下降 治疗 前 差异 统计学 意义 组间 疼痛 评分 不良反应 发生率 差异 统计学 意义 实验组 治疗 月 月 完全缓解 率均 高于 对照组 差异 统计学 意义 结论 拉莫 三嗪 改善 三叉神经痛 患者 临床 症状 安全性 高 高 临床 价值,1,[0.9835238]
目的 探讨 牙周膜 干细胞 口腔 表皮 样 癌细胞 系 细胞 增殖 影响 机制 方法 取 拔除 阻生 第三磨牙 正畸 减数 牙 采用 酶 消化 法 分离 培养 小室 细胞 比例 混合 培养 建立 共培养 体系 法 观察 细胞 增殖 情况 实验 培养 体系 中 抗 抗体 同法 观察 细胞 增殖 收集 共培养 细胞 流式细胞 术 检测 凋亡 情况 法 检测 表达 蛋白质 印迹 法 检测 β 表达 情况 收集 采用 法 检测 表达 细胞 共培养 ∶ 细胞 数量 比为 ∶ 时 吸 光度 值为 ± 单独 细胞 组 ± 相比 差异 统计学 意义 ∶ 细胞 数量 比为 ∶ 时 吸 光度 值为 ± 单独 细胞 组 相比 差异 统计学 意义 抑制 细胞 增殖 ∶ 细胞 数量 比为 ∶ 时 细胞 凋亡 率为 ± 单独 细胞 组 ± 相比 ∶ 细胞 数量 比为 ∶ 时 细胞 凋亡 率为 ± 单独 细胞 组 相比 细胞 共培养 体系 中 抗 抗体 抑制 细胞 增殖 作用 减轻 实验 发现 共培养 表达 升高 蛋白质 印迹 法 检测 发现 培养 细胞 β 表达 变化 结论 抑制 口腔 表皮 样癌 细胞 增殖 细胞 凋亡,0,[1.4859708e-05]
生活 水平 提高 少年儿童 户外活动 多样化 年轻 恒牙 外伤 发生率 呈 趋势 年轻 恒牙 外伤 口腔科 急诊 中 多发病 常见病 年轻 恒牙 牙根 尚未 发育 根尖 未 闭锁 牙周组织 中其 关键 固位 作用 牙周 韧带 发育 欠 完善 牙周 韧带 面积 远不如 恒牙 年轻 恒牙 固位 力 较差 承受 外力 能力 薄弱 撞击 时 发生 移位 损伤 受伤 牙髓 组织 坏死 牙根 发育 停止 根尖 周 组织 感染 牙根 吸收 并发症 年轻 恒牙 适度 可靠 固定 技术 治疗 成功 关键 年轻 恒牙 外伤 固定 技术 新 材料 辅助 粘接 树脂 弹性 固定 已有 取代 传统 钢丝 牙弓 夹板 固定 技术 趋势,0,[8.316825e-05]
临床 药师 药学 查房 药学 问诊 医嘱 审核 药学 服务 实践 颌面 外科 工作 内容 经验 探索 颌面 外科 药学 工作 模式 提高 药学 服务水平 用药,0,[7.5181e-05]
目的 分析 口腔 颌面部 大面积 缺损 中 胸大肌 肌 皮瓣 修复 重建 临床 效果 价值 方法 选取 年 月 年 月 收治 入院 例 口腔 颌面部 大面积 组织 缺损 患者 研究 对象 胸大肌 带蒂肌 皮瓣 修复 治疗 观察 患者 治疗 临床 效果 评估 价值 例 口腔 颌面部 大面积 缺损 患者 胸大肌 肌 皮瓣 修复 治疗 成活 成活率 例 远端 坏死 治疗 成活 影响 口腔 功能 例 修复 开口 受限 Ⅱ 度 例 下颌骨 区段 切除 口腔 功能 患者 满意度 结论 口腔 颌面部 大面积 缺损 临床 修复 治疗 中 胸大肌 肌 皮瓣 缺损 面积 修复 效果 成活率 改善 口腔 功能 患者 修复 效果 满意,0,[0.00078016]
目的 分析 牙龈 卟 啉 单胞菌 毒力 因子 牙龈 蛋白 青少年 正畸 治疗 早期 变化 方法 随机 收集 青少年 正畸 牙龈 正常者 例 取 矫治器 戴入 前 戴入 月 龈沟 液 标本 技术 检测 样本 中 牙龈 卟 啉 单胞菌 毒力 因子 牙龈 蛋白 采用 软件包 数据 统计分析 牙龈 卟 啉 单胞菌 牙龈 蛋白 各组 间 检出率 χ 检验 牙龈 卟 啉 单胞菌 牙龈 蛋白 检出率 牙龈 炎症 之间 关系 等级 相关 分析 牙龈 卟 啉 单胞菌 矫治 前 戴入 月 显著性 差异 月 月 之间 有极 显著性 差异 戴入 月 月 之间 显著性 差异 牙龈 蛋白 矫治器 戴入 前 戴入 月 月 之间 显著性 差异 戴入 月 月 之间 显著性 差异 月 牙龈 卟 啉 单胞菌 牙龈 蛋白 检出率 下降 月 时 检出率 接近 矫治器 戴入 前 结论 青少年 正畸 治疗 过程 中 矫治器 戴入 早期 引发 牙龈 卟 啉 单胞菌 牙龈 蛋白 增加 牙龈 炎症 增加 时间 月 下降 月 时 接近 矫治器 戴入 前,0,[0.00182754]
目的 研究 口腔 细菌 种类 数量 实施 中药 口腔 护理 变化 状况 方法 选取 我院 口腔科 收治 例 患者 研究组 随机 选取 例 正常人 对照组 研究组 患者 划分 两个 小组 依次 生理盐水 中药 口腔 护理 工作 正常人 口腔 细菌 分布 状况 琼脂 平板 稀释 法 系列 全自动 微生物 分析 系统 口腔 细菌 鉴定 体外 药物 敏感性 检测 研究组 中 两组 护理 方式 患者 口腔 菌种 数量 分析 分析 护理 前 口腔 菌种 数量 变化 情况 革兰氏 阳性 球菌 铜绿 假 单胞菌 革兰氏 阴性 短 杆菌 细菌 口腔疾病 致病菌 研究组 中 盐水 口腔 护理 患者 口腔 细菌 数量 中药 口腔 护理 患者 致病菌 种类 减少 数据 统计学 意义 口腔 细菌 鉴定 体外 药物 敏感性 检测 结论 相 统一 结论 口腔科 疾病 患者 中药 护理 疗效 控制 细菌 繁殖 扩散 降低 菌体 总量 减少 细菌 种类 抑制 致病菌,0,[0.12608618]
目的 评价 生物 活性 玻璃 凝胶 治疗 菌斑 性 牙龈炎 周后 临床 有效性 不良 事件 发生 情况 方法 采用 中心 随机 双盲 临床 研究 方法 名 受试者 随机 分成 试验 组 生物 活性 玻璃 凝胶 安慰剂 组 公司 生产 含 有效成分 凝胶 受试者 早晚 刷牙 试验 凝胶 全口 牙龈 受试者 入组 当天 ± 天 及第 ± 天时 随访 检查 评价 龈沟 出血指数 菌斑指数 随访 期间 不良 事件 发生率 治疗 ± 天后 实验组 基线 值均 明显降低 随访 期间 实验组 不良 事件 发生率 安慰剂 组 差异 统计学 意义 两组 不良 事件 报告 结论 生物 活性 玻璃 凝胶 缓解 牙龈 出血 抑制 牙菌斑 推荐 用于 治疗 菌斑 性 牙龈 炎症,1,[0.8065372]
本文 阐述 口腔医学 技术 研究 新进展 口腔医学 技术 发展 面临 困境 我国 口腔医学 技术 研究 发展 策略 我国 口腔医学 技术 站 患者 利益 规范化 法律化 发展,0,[4.801364e-05]
正 呼吸机 相关 性肺炎 指 病人 人工 气 道行 机械 通气 发生 肺炎 内源性 感染 常见 原因 口 咽部 定植 菌 误吸 发生 机制 口腔 护理 预防 发生 措施 国内外 研究 选用 氯己 口腔 护理液 本文 气管 插管 病人 用氯己 定做 口腔 护理 研究 现状 作一 综述 气管 插管 病人 口腔 护理 重要性 呼吸道 细菌 定植 口 咽部 分泌物 误吸 发生 常见 原因 气管 插管 病人 吞咽 功能 咳嗽,0,[2.9775527e-05]
目的 医疗机构 医用 口腔 诊断 建设项目 职业病 危害 放射 防护 控制 效果 评价 竣工 验收 项目 正式 运行 提供 方法 国家有关 法规 标准 规范 建设 单位 提交 材料 项目 现场 卫生学 调查 放射 防护 检测 情况 综合性 分析 机房 防护 设计 措施 机房 面积 最小 单边 长度 略偏 工作人员 操作 处 机房 辐射 水平 仪器 本底 水平 未 测出 机 防护 性能 符合 相关 逾期 未 放射 工作人员 岗 期间 职业 健康检查 放射 防护 相关 知识 培训 结论 项目 放射 防护 控制 效果 符合 放射 卫生学 国家有关 标准规定 相关 竣工 验收 条件 放射 工作人员 管理 管理制度 落实 需,0,[0.00035606]
目的 研究 六 手 操作 技术 埋伏 阻生牙 牵引 术 中 附件 粘结 配合 要点 方法 选取 例 患有 埋伏牙 需 牵引 患者 粘结 附件 过程 中 采用 六 手 操作 配合 例 患者 附件 粘结 牢固 颗 埋伏牙 牵引 至牙列 位置 术 中 六 手 操作 配合 提高 工作效率 减少 患者 不适感 结论 六 手 操作 技术 埋伏牙 牵引 术 中 先进性 值得 临床 推广应用,0,[0.00052062]
王中琳 教授 提倡 三叉神经痛 肝胆 胃辨治 肝火 上炎 胆胃 郁热 病机 治以 清肝 胃 祛风 止痛 临床 疗效,0,[0.00060013]
目的 评价 牙周 非手术治疗 重度 慢性 牙周炎 患 牙龈 沟液 中 基质 金属 蛋白酶 组织 抑制剂 水平 影响 方法 选取 颗 重度 牙周炎 患牙 牙周 非手术治疗 检查 菌斑指数 牙周袋 深度 出血指数 附着 丧失 收集 采用 酶 联 免疫吸附 法 检测 中 含量 牙周 非手术治疗 改善 量 中 水平 治疗 变化 治疗 呈 正 相关 关系 外 临床 指标 相关性 结论 牙周 非手术治疗 改善 重度 慢性 牙周炎 临床 指标 改变 中 水平,0,[0.00016054]
正 口腔溃疡 妇科 恶性 病种 患者 化疗 常见 并发症 发病率 高达 患者 带来 痛苦 影响 患者 进食 临床 治疗 棘手 食物 药物 物理 性 化学性 刺激 影响 患者 生存 质量 影响 化疗 笔者 采用 青参甘汤 含漱 治疗 化疗 发生,0,[0.00057586]
目的 探讨 丹参 泼尼松 龙 合用 单独 泼尼松 龙 治疗 口腔 黏膜 纤维化 临床 疗效 方法 收治 口腔 黏膜 纤维化 患者 例 随机 分为 两组 采用 丹参 联合 泼尼松 龙 单独 采用 泼尼松 龙 月 治疗 药物 患者 病损 面积 张口 度 疼痛 指数 此基础 两组 临床 疗效 丹 参与 泼尼松 龙 联合 用药治疗 口腔 黏膜 纤维化 减少 泼尼松 龙 带来 不良反应 患者 康复 结论 丹参 联合 泼尼松 龙 治疗 口腔 黏膜 纤维化 优势,1,[0.97307646]
目的 探讨 无牙颌 患者 口腔 种植 修复 技术 治疗 效果 方法 选取 例 无牙颌 患者 分为 观察 组 对照组 对照组 患者 常规 治疗 手段 实施 治疗 观察 组 患者 口腔 种植 方法 治疗 治疗 观察 组 患者 治疗 效果 高于 对照组 差异 统计学 意义 结论 无牙颌 患者 实施 治疗 过程 中 患者 实施 口腔 种植 修复 术 治疗 提升 患者 治疗 效果 值得 临床 推广应用,0,[0.05693415]
我校 口腔医学 系 打破 传统 教育 观念 就业 导向 实施 校院 融合 四个 教学模式 构建 完整 教学 平台 提高 学生 岗位 胜任 能力 学生 毕业 顺利 就业 提供 保障,0,[0.00043959]
